Timestamp,FPS,Inference Time (ms)
2025/5/7 13:36,0.1,57.07
2025/5/7 13:36,0.2,46.24
2025/5/7 13:36,0.3,43.23
2025/5/7 13:36,0.4,42.54
2025/5/7 13:36,0.5,49.61
2025/5/7 13:36,0.59,53.85
2025/5/7 13:36,0.68,52.07
2025/5/7 13:36,0.77,47.73
2025/5/7 13:36,0.86,52.21
2025/5/7 13:36,0.95,41.87
2025/5/7 13:36,1.04,39.58
2025/5/7 13:36,1.13,38.88
2025/5/7 13:36,1.21,43.28
2025/5/7 13:36,1.29,37.84
2025/5/7 13:36,1.37,43.82
2025/5/7 13:36,1.45,40.73
2025/5/7 13:36,1.53,45.25
2025/5/7 13:36,1.61,44.39
2025/5/7 13:36,1.68,46.12
2025/5/7 13:36,1.76,45.68
2025/5/7 13:36,1.83,44.68
2025/5/7 13:36,1.9,45.58
2025/5/7 13:36,1.98,40.44
2025/5/7 13:36,2.05,39.59
2025/5/7 13:36,2.13,41.38
2025/5/7 13:36,2.2,37.91
2025/5/7 13:36,2.27,39.7
2025/5/7 13:36,2.34,41.09
2025/5/7 13:36,2.41,39.96
2025/5/7 13:36,2.48,37.11
2025/5/7 13:36,2.55,41.13
2025/5/7 13:36,2.61,43.9
2025/5/7 13:36,2.67,45.65
2025/5/7 13:36,2.73,46.12
2025/5/7 13:36,2.79,41.55
2025/5/7 13:36,2.85,45.81
2025/5/7 13:36,2.91,43.45
2025/5/7 13:36,2.97,46.41
2025/5/7 13:36,3.03,38.22
2025/5/7 13:36,3.09,40.85
2025/5/7 13:36,3.15,38.23
2025/5/7 13:36,3.21,41.31
2025/5/7 13:36,3.27,40.7
2025/5/7 13:36,3.32,46.41
2025/5/7 13:36,3.38,40.57
2025/5/7 13:36,3.43,46.58
2025/5/7 13:36,3.48,48.55
2025/5/7 13:36,3.52,43.32
2025/5/7 13:36,3.58,43.08
2025/5/7 13:36,3.62,54.08
2025/5/7 13:36,3.68,43.65
2025/5/7 13:36,3.72,53.13
2025/5/7 13:36,3.77,42.46
2025/5/7 13:36,3.81,48.78
2025/5/7 13:36,3.86,44.81
2025/5/7 13:36,3.91,45.6
2025/5/7 13:36,3.96,36.93
2025/5/7 13:36,4.01,42.01
2025/5/7 13:36,4.06,39.91
2025/5/7 13:36,4.11,41.54
2025/5/7 13:36,4.15,42.93
2025/5/7 13:36,4.18,40.69
2025/5/7 13:36,4.23,42.94
2025/5/7 13:36,4.27,40.32
2025/5/7 13:36,4.32,39.22
2025/5/7 13:36,4.37,41.76
2025/5/7 13:36,4.42,41.65
2025/5/7 13:36,4.47,38.98
2025/5/7 13:36,4.51,38.66
2025/5/7 13:36,4.55,47.32
2025/5/7 13:36,4.58,48.69
2025/5/7 13:36,4.62,44.46
2025/5/7 13:36,4.66,44.08
2025/5/7 13:36,4.69,46.28
2025/5/7 13:36,4.73,40.09
2025/5/7 13:36,4.76,45.83
2025/5/7 13:36,4.8,40.4
2025/5/7 13:36,4.83,46.24
2025/5/7 13:36,4.87,41.46
2025/5/7 13:36,4.91,46.5
2025/5/7 13:36,4.94,41.46
2025/5/7 13:36,4.97,53.46
2025/5/7 13:36,4.99,42.01
2025/5/7 13:36,5.02,42.68
2025/5/7 13:36,5.05,41.54
2025/5/7 13:36,5.09,43.6
2025/5/7 13:36,5.12,50.91
2025/5/7 13:36,5.15,47.34
2025/5/7 13:36,5.18,45.72
2025/5/7 13:36,5.21,51.43
2025/5/7 13:36,5.23,47.1
2025/5/7 13:36,5.26,43.53
2025/5/7 13:36,5.29,45.96
2025/5/7 13:36,5.32,49.57
2025/5/7 13:36,5.35,45.44
2025/5/7 13:36,5.38,41.46
2025/5/7 13:36,5.42,37.28
2025/5/7 13:36,5.44,45.55
2025/5/7 13:36,5.47,43.27
2025/5/7 13:36,5.51,40.53
2025/5/7 13:36,5.54,39.23
2025/5/7 13:36,5.57,46.78
2025/5/7 13:36,5.59,43.76
2025/5/7 13:36,5.62,49.25
2025/5/7 13:36,5.65,44.2
2025/5/7 13:36,5.67,47.42
2025/5/7 13:36,5.7,44.11
2025/5/7 13:36,5.72,47.98
2025/5/7 13:36,5.76,39.07
2025/5/7 13:36,5.79,39.42
2025/5/7 13:36,5.83,39.15
2025/5/7 13:36,5.86,39.21
2025/5/7 13:36,5.89,43.07
2025/5/7 13:36,5.92,39.39
2025/5/7 13:36,5.95,42.35
2025/5/7 13:36,5.97,40.61
2025/5/7 13:36,5.99,52.81
2025/5/7 13:36,6.02,50.45
2025/5/7 13:36,6.04,41.83
2025/5/7 13:36,6.07,40.84
2025/5/7 13:36,6.11,41.7
2025/5/7 13:36,6.14,40.82
2025/5/7 13:36,6.16,45.48
2025/5/7 13:36,6.18,42.26
2025/5/7 13:36,6.21,40.28
2025/5/7 13:36,6.24,48.39
2025/5/7 13:36,6.27,42
2025/5/7 13:36,6.27,60.67
2025/5/7 13:36,6.3,43.18
2025/5/7 13:36,6.32,47.36
2025/5/7 13:36,6.35,38.11
2025/5/7 13:36,6.38,42.37
2025/5/7 13:36,6.39,42.26
2025/5/7 13:36,6.41,40.84
2025/5/7 13:36,6.43,43.56
2025/5/7 13:36,6.45,41.2
2025/5/7 13:36,6.47,43.84
2025/5/7 13:36,6.49,44.24
2025/5/7 13:36,6.5,51.7
2025/5/7 13:36,6.52,45.69
2025/5/7 13:36,6.54,44.5
2025/5/7 13:36,6.56,43.24
2025/5/7 13:36,6.59,37.52
2025/5/7 13:36,6.62,37.91
2025/5/7 13:36,6.64,40.12
2025/5/7 13:36,6.67,42.99
2025/5/7 13:36,6.69,44.82
2025/5/7 13:36,6.7,43.68
2025/5/7 13:36,6.72,40.45
2025/5/7 13:36,6.74,44.73
2025/5/7 13:36,6.75,46.46
2025/5/7 13:36,6.77,44.55
2025/5/7 13:36,6.79,47.67
2025/5/7 13:36,6.8,50.3
2025/5/7 13:36,6.81,48.62
2025/5/7 13:36,6.83,39.75
2025/5/7 13:36,6.85,41.7
2025/5/7 13:36,6.87,42.08
2025/5/7 13:36,6.89,40.81
2025/5/7 13:36,6.91,42.37
2025/5/7 13:36,6.92,44.5
2025/5/7 13:36,6.94,38.38
2025/5/7 13:36,6.96,41.02
2025/5/7 13:36,6.98,41.32
2025/5/7 13:36,6.99,40.4
2025/5/7 13:36,7,48.64
2025/5/7 13:36,7.02,40.8
2025/5/7 13:36,7.04,39
2025/5/7 13:36,7.06,40.78
2025/5/7 13:36,7.08,39.6
2025/5/7 13:36,7.1,37.92
2025/5/7 13:36,7.12,38.76
2025/5/7 13:36,7.13,46.01
2025/5/7 13:36,7.14,46.16
2025/5/7 13:36,7.15,50.15
2025/5/7 13:36,7.16,42.32
2025/5/7 13:36,7.17,44.58
2025/5/7 13:36,7.19,41.2
2025/5/7 13:36,7.21,41.7
2025/5/7 13:36,7.21,47.24
2025/5/7 13:36,7.23,44.78
2025/5/7 13:36,7.24,47.31
2025/5/7 13:36,7.27,35.79
2025/5/7 13:36,7.28,40.48
2025/5/7 13:36,7.29,45.25
2025/5/7 13:36,7.31,45.56
2025/5/7 13:36,7.32,51.1
2025/5/7 13:36,7.33,49.16
2025/5/7 13:36,7.34,53.11
2025/5/7 13:36,7.35,50.45
2025/5/7 13:36,7.37,51.63
2025/5/7 13:36,7.38,47.97
2025/5/7 13:36,7.39,48.2
2025/5/7 13:36,7.4,51.43
